@relation rfm-weka.filters.unsupervised.attribute.Remove-R1

@attribute r numeric
@attribute f numeric
@attribute m numeric

@data
9,8,108
28,7,60
189,5,75.6
58,1,23.9
78,2,30
59,1,39.6
77,3,90
22,5,160
51,1,144
73,1,62.55
56,5,126
277,1,22.95
1,4,171.84
94,2,63.6
28,1,28.9
21,1,40
14,3,40
231,1,25.5
275,1,39
105,2,36
211,2,175.2
22,9,144
10,7,108
3,3,50
9,2,120
56,1,160
89,2,126
66,8,108
32,1,160
238,1,120
23,3,90
114,1,40
24,3,93.6
129,1,30
33,4,70.8
4,2,81.36
21,12,139.2
154,1,44.75
106,3,70.8
2,1,94.8
334,1,17.85
330,1,126
10,5,25.2
10,4,127.5
18,1,54
29,1,28.08
10,1,25.2
0,11,41.6
324,1,30
57,1,160
9,5,90
329,1,47.7
4,2,45
38,4,89.7
24,6,114.45
58,4,76.32
0,4,36
3,15,175.2
7,7,93.6
27,6,90
371,1,18
113,1,135
25,2,72
205,1,54
27,6,158.4
126,4,91.8
69,2,54.75
6,4,70.8
28,3,80
7,4,126
79,2,36
19,1,25.2
70,1,25.2
6,8,200
14,9,162
291,1,68
29,10,53.1
96,3,72
28,13,142.8
0,1,71.7
8,5,108
105,1,80
3,2,54
150,2,100
70,1,36
4,2,37.5
2,25,108
31,6,72
84,4,81.6
3,5,61.2
4,4,54
370,1,56
27,7,54
10,7,183.6
70,4,40.8
113,1,36
179,1,40
233,1,76.5
352,1,46.8
314,2,54
332,1,90
371,1,19.8
77,2,153
63,1,34
133,2,22.5
3,5,114.75
128,1,40.68
86,1,61.2
116,2,66
51,3,45
7,2,140
137,2,87
316,1,153
3,7,168
238,1,175.2
59,1,140
16,5,59.4
19,6,54
37,8,102
63,2,70.8
4,5,112
8,2,56
363,1,56
9,3,62.4
64,1,39.95
191,1,39.8
373,1,177.6
256,1,56
334,2,66
52,2,59.4
18,1,112
365,1,35.7
186,1,35.7
36,3,28
177,1,84
260,3,29.5
44,1,31.6
101,1,85.92
147,2,120
95,2,80
280,1,59.4
2,4,37.8
213,1,19.92
70,2,102
59,1,47.7
2,7,35.4
5,3,44.55
2,6,45.9
336,2,79.9
261,1,42
31,2,19.8
144,1,27.04
282,1,25.2
58,4,84.15
172,1,25.5
33,2,35.4
2,14,70.8
143,4,59
4,25,107.28
69,2,122.4
65,8,59.4
28,2,17.85
266,4,208.8
21,1,46.8
30,2,100
96,1,16.95
294,1,34.8
134,6,81.6
78,3,135.2
372,1,17.7
7,6,49.92
210,2,68
137,1,119.52
25,2,33.9
282,1,60
25,7,74.7
185,6,31.6
83,2,163.2
326,2,41.3
281,1,102
57,2,122.4
3,12,79.2
235,2,30.6
44,3,183.6
275,1,195
24,4,29.7
87,1,170
62,3,46.8
67,2,35.4
213,2,106.5
23,1,45
185,3,204
30,1,37.44
41,2,25
204,2,70.8
264,1,17.7
17,2,51
22,8,102
2,5,157.92
4,5,204
148,2,25.5
138,4,163.2
7,6,107.28
16,1,16.95
8,37,178.2
160,1,35.4
63,1,19.9
87,4,152.64
4,2,34.68
34,5,126
311,1,17.85
77,2,27.04
23,3,52.5
1,7,40.8
16,4,102
14,4,81.6
25,1,19.8
54,2,51
130,3,25.5
35,2,39.8
287,1,58
143,6,130
15,7,46.8
30,8,63.6
1,3,179
8,6,35.7
5,4,33.9
9,1,35.4
0,11,157.92
305,1,16.95
9,8,76.5
6,2,35.4
7,8,53.1
88,1,31.8
9,1,25.2
357,2,204
111,1,61.2
6,4,25.5
197,1,35.7
211,1,145
155,1,20
29,2,34.68
242,1,23.4
18,1,30
0,2,47.4
73,2,49.95
291,1,29.85
30,3,58.5
22,2,42.5
22,4,20.8
3,3,25.5
84,1,135
21,4,83.2
195,3,76.5
106,3,76.32
317,1,26.1
105,3,60
11,18,39.75
173,2,75
55,1,38.25
322,1,34.8
371,1,17.85
8,8,50.4
0,13,102
10,10,175.2
72,3,34.68
6,1,204
15,28,83.4
3,9,75.6
63,2,45
0,5,159.36
22,2,37.44
10,2,47.4
51,2,49.5
356,1,19.5
54,2,30
73,2,102
137,3,47.4
79,3,102
8,2,34.68
272,1,120
290,1,51
98,1,41.6
30,2,85
31,10,68
13,4,47.2
63,2,177.6
14,17,79.6
211,1,67.85
77,3,40.8
24,3,123.75
249,1,89.25
253,1,61.2
71,1,51.75
190,1,102
12,4,59
372,1,23.4
23,2,39.9
81,1,18.75
9,2,179
191,1,41.6
266,1,35.4
129,1,102
0,4,81.36
3,5,95.2
178,1,17.4
11,11,207.5
3,2,34
157,2,60
27,1,39.6
70,5,39.8
20,12,152.64
70,1,17.4
32,10,75.6
98,1,207.36
233,1,25.74
39,1,51
2,6,162.72
132,1,76.5
43,4,107.4
372,1,102
59,2,51
30,7,47.7
11,4,59.5
137,1,31.9
21,8,35.95
19,5,67.5
238,1,30.6
268,1,20.28
93,2,30.6
89,3,114.75
4,8,47.7
77,1,34.68
93,1,39
22,3,119.4
261,1,45
273,2,19.9
85,4,61.2
55,5,51
10,8,39.6
21,6,30
15,7,117
107,3,31.8
84,5,71.4
18,1,30.6
332,1,63.75
25,1,51
28,12,62.5
13,4,76.5
295,1,35.4
5,1,140.4
32,4,46.8
48,4,60
94,4,35.4
8,4,74.7
21,1,34.8
312,1,27
121,4,78.3
45,2,102
282,1,31.8
18,4,41.76
35,4,59
63,2,153
26,1,10.2
21,3,83.2
3,2,30
15,3,49.95
45,1,30.24
64,1,19.8
25,11,85.92
44,1,15
7,9,177.6
14,10,60
267,1,71.4
39,3,50.4
336,1,19.9
10,1,99.6
18,2,18.72
94,2,29.7
60,1,16.95
135,1,34
10,4,53.1
9,6,42
18,4,76.32
9,4,39.95
14,2,71.4
58,6,47.2
29,8,85.92
93,1,30.24
9,3,204
19,3,50
56,5,59.4
267,1,92.5
126,1,19.8
77,4,166.8
239,2,59.4
199,2,100.8
59,2,135
272,1,15
201,1,67.5
80,1,179
225,1,21.9
3,14,85
12,7,36
73,2,46.8
211,1,75.6
24,2,40.56
16,4,104
261,1,44.55
95,4,30.6
111,3,20.8
202,1,34
92,1,9.95
50,1,38.25
17,6,174
17,4,52.02
124,2,31.6
91,3,152.64
156,2,180
8,2,90
11,3,81.6
61,1,25.5
268,2,135
262,1,51
0,35,122.4
10,12,117
2,19,76.5
17,11,60
0,15,177.6
36,1,15.3
30,2,29.7
112,1,24.9
63,2,46
15,4,49.5
40,1,39.84
77,1,25.5
121,3,21.9
17,3,91.8
59,2,20.8
330,1,25.5
22,4,33
155,1,34.8
38,2,39.6
189,2,31.8
359,1,25.2
136,1,34
7,4,102
267,1,59.7
168,1,30
103,4,34
154,1,63.75
350,1,19.5
3,10,63.6
119,1,15
22,3,149.4
6,5,40.5
27,3,30
3,2,78.96
21,5,59.4
1,3,29.7
65,6,40.8
0,3,102
4,26,153
77,4,25
16,1,45
2,5,204
81,1,133
38,8,99.6
31,2,131.4
92,3,79.2
13,1,23.6
81,3,81.6
76,1,30
157,1,130.8
200,1,34
260,1,87.6
177,1,50
287,1,50
69,1,59.4
63,1,29.7
10,1,50
15,2,61.2
65,1,50
59,1,50
70,1,39.6
121,1,102
79,1,47.7
256,1,40.8
268,1,50
63,1,50
8,4,59.4
17,2,50
70,1,24.96
33,2,76.5
49,1,56.16
256,2,50
365,1,50
371,1,39.8
89,1,50
60,3,123.75
88,1,102
98,3,50
25,3,33
31,6,102
280,1,19.8
329,1,49.9
130,2,53.1
10,3,30
74,1,119.4
203,1,59.8
1,8,75.6
184,1,31.9
28,2,118.8
72,5,162.72
191,1,35.7
126,2,53.1
17,1,45
0,2,63.75
73,3,39.8
23,5,70.2
106,1,34.65
43,2,79.2
4,2,37.5
63,1,25.2
149,2,38.25
39,2,81.6
63,1,75
107,3,88.8
0,10,149.4
18,3,79.2
9,1,8.5
10,4,51
18,2,51
66,2,183.6
73,2,177.6
4,7,180
1,1,25.5
13,7,102
254,1,20.4
91,1,81.12
22,3,53.55
16,6,60
23,1,34
26,6,103.68
25,5,39.8
165,2,39.8
24,2,63.75
17,6,207.5
6,14,122.4
28,2,17
38,3,163.8
252,1,19.8
57,1,30
183,1,35.4
10,2,39.8
1,37,163.2
98,2,16.5
0,4,45
60,2,45
235,1,12.75
190,4,76.32
178,2,125
37,6,76.5
200,2,39.6
45,5,41.6
231,1,20.28
65,1,30
240,1,67.5
232,1,70.8
77,3,39.6
57,3,35.4
104,4,158.4
51,10,30.6
135,3,67.5
274,2,156.6
311,1,35.4
7,5,135
10,2,70.8
282,2,35.4
17,5,102
22,3,39.6
287,1,102
16,3,59.4
70,1,23.9
63,1,22.5
315,2,30
2,4,39.6
243,1,17.85
8,7,127.2
0,4,40.8
260,1,30
126,1,60
73,1,41.5
72,4,35.4
20,3,180
59,3,35.4
85,1,35.4
77,1,23.9
58,6,200
0,3,17
29,1,35.7
32,5,165
40,5,40.8
33,7,35.8
78,2,50.85
204,2,41.6
33,1,30
182,3,13.05
1,25,41.6
0,7,89.1
42,7,70.8
85,3,33.9
39,2,13.52
11,3,38.25
95,2,54.18
25,7,45
318,1,38.25
65,12,119.52
73,4,122.4
27,2,60
5,4,16.6
6,1,14.75
215,1,81.6
81,3,53.55
83,2,165
18,2,30
40,2,47.6
172,1,11.8
16,2,16.95
242,1,40.56
12,12,20.8
205,1,157.92
49,2,41.25
22,5,41.6
24,4,99
14,2,47.7
308,1,31.8
155,1,31.6
306,1,27.25
15,9,39.6
14,2,30.6
10,6,113.76
64,3,76.5
35,4,32.85
107,5,59.5
52,1,33
5,2,24.9
46,1,25.5
0,21,165
311,1,44.85
44,2,29.7
64,1,30.24
25,1,17.9
28,3,30.6
39,1,25
11,7,34
88,3,60.84
23,4,50.85
318,1,40.56
39,3,57.75
173,1,30
116,1,20
30,5,109.5
252,1,19.8
58,5,203.52
4,7,158.4
24,5,60.48
32,5,51
67,1,45
36,5,34
51,3,25.5
15,1,25.5
215,1,29.4
30,3,35.4
15,4,37.5
119,1,90
9,4,207.5
256,2,83.4
16,6,70.8
34,2,17.4
45,3,27.04
42,6,53.1
113,2,39.8
164,2,35.4
10,2,67.5
9,5,167
205,2,67.2
85,3,34.8
178,1,19.8
59,3,20.4
148,1,15.8
2,21,203.52
50,2,40.8
74,1,30
300,2,54
18,2,49.5
150,2,35.4
151,1,19
17,4,41.25
186,1,25.5
285,1,7.5
182,1,10.5
62,1,179
58,1,44.85
24,3,118.8
30,15,158.4
38,1,19.8
154,1,31.8
25,10,99.6
317,1,99.5
4,9,51
7,3,165
302,1,39.9
266,2,60
270,1,17.7
3,13,177.6
31,1,67.2
218,2,31.6
246,1,40.8
280,5,35.4
268,1,20.4
31,6,34.68
245,2,111.6
14,5,52.2
116,4,79.2
35,1,39.6
131,3,85
216,1,49.75
49,8,136
38,2,179
28,2,47.7
36,6,25.5
135,2,39.6
218,2,23.4
27,1,30
24,4,71.4
4,2,19.9
199,1,73.95
17,1,91.8
240,1,31.8
71,3,47.7
16,12,51
2,7,70.2
94,2,41.76
161,1,28.44
373,1,79.6
95,5,204
287,1,165
123,6,75
287,1,67.5
151,2,52.2
3,9,59.4
11,7,102
32,2,157.92
53,2,20.65
49,2,30
218,1,104.4
62,1,180
70,3,25
1,10,157.92
63,4,102
33,3,74.25
81,1,24.9
102,1,30
6,2,85.8
250,1,25.5
12,6,24.96
9,11,199.68
366,1,81.6
75,2,24.96
3,1,18.72
65,2,23.4
116,2,50.4
309,1,46.8
66,1,20.4
254,1,23.4
30,7,69.36
51,2,169
63,1,65.4
366,1,19.8
5,5,106.2
304,1,38.25
41,3,26.4
39,4,54
91,2,90
21,4,198
23,2,54
28,2,36
301,3,66
144,2,25.5
5,2,123.9
18,2,91.8
32,5,207.5
175,1,29.7
57,3,19.9
21,1,17.7
18,1,19.8
158,1,30
24,4,31.8
211,2,45
5,4,19.9
252,1,85
58,9,50.85
10,1,35.4
64,1,102
24,3,30.6
51,2,39.6
128,1,30.6
56,1,175.2
168,3,93.6
56,1,30.6
325,1,19.9
0,5,29.88
17,8,45
247,1,30
57,4,25.5
73,1,34.68
30,3,63.6
122,4,35.7
1,8,207.5
22,13,67.2
119,3,30
357,1,178.75
53,5,178.2
63,1,23.9
85,1,69.6
54,1,99.6
20,13,59.4
2,5,59.85
10,5,51
6,5,69.3
188,2,51
70,1,20
203,1,32.7
119,2,30
92,1,50.4
0,10,39.6
26,4,114.84
23,3,76.32
27,4,180
49,1,53.1
325,1,22.5
15,2,51
182,3,102
71,5,59.95
36,2,19.8
79,4,124.8
56,9,119.52
11,2,59.4
49,2,30.6
58,2,34.8
351,1,39.8
53,1,35.4
1,6,35.4
92,4,33.2
22,1,39.95
74,1,41.6
10,4,35.4
57,2,39.6
294,1,34
108,2,67.5
263,1,90
179,1,31.6
168,1,30.6
34,1,19.8
22,3,35.4
16,4,39.6
78,3,132
64,1,19.8
360,1,46.8
2,6,135.2
10,4,81.6
175,3,38.16
217,2,70.8
1,2,33.9
153,2,51
4,5,49.01
78,3,42.5
20,2,70.8
21,2,21.95
307,4,60
145,1,45
6,18,207.5
18,8,49.8
70,2,23.6
286,1,68
48,1,24.96
30,6,51
206,1,69.36
14,2,40.56
72,1,25.5
59,1,47.2
38,4,81.6
3,15,53.1
16,1,80.64
19,6,71.9
65,2,145
212,1,35.7
11,6,39.6
29,1,20
42,9,204
3,6,49.5
14,5,35.4
9,12,81.36
210,1,93.6
45,3,179
133,2,23.4
42,7,82.5
9,5,175.2
115,3,145
197,2,30
277,1,39.6
109,3,39.6
76,1,30
52,1,108.48
161,4,207.5
46,3,99.84
16,2,39.6
154,3,76.5
224,1,35.4
6,2,44.55
121,2,30.6
60,1,24.96
62,2,79.2
1,11,128.88
21,3,87.8
28,5,81.6
284,1,31.8
175,2,17.7
77,3,39.6
32,1,69.6
40,12,175.2
265,1,39.9
26,4,49.95
283,1,40.32
8,5,183.6
304,1,23.6
16,4,119.4
31,2,30
19,1,18.75
123,2,112.5
64,1,16.5
0,23,74.25
266,1,51
266,1,38.25
63,2,24.75
319,1,40.5
3,8,40.56
31,1,17
4,3,85.92
128,1,16.95
40,5,85.92
101,6,158.75
124,1,165
32,1,15
301,2,25.5
364,1,23.4
3,9,29.7
1,18,51
2,1,11.7
56,1,31.2
324,1,76.32
7,14,71.4
11,1,30
36,1,61.2
15,11,121.68
137,1,23.85
4,5,90
154,2,85
238,1,53.55
51,7,71.4
30,2,59.4
72,1,25.2
13,4,153
22,7,102
273,2,89.7
19,5,85
143,1,30
3,4,94.8
83,1,143.26
10,3,47.8
122,3,23.6
60,2,29.7
1,5,45
318,1,40.8
1,11,74
129,3,39.6
1,2,99.6
45,1,61.2
3,2,30.6
2,4,59.4
372,1,25.2
133,1,19.8
8,5,183.6
77,2,204
233,1,127.5
220,1,25.5
35,2,118.8
74,2,30
238,2,195
265,1,29.5
19,2,35.4
39,1,34
19,11,51
215,3,39.8
173,2,40.8
275,1,17
38,4,25.5
97,1,25.5
10,4,135
32,1,9.95
59,3,75
296,4,35.4
85,4,109
8,7,59.4
40,2,34.8
10,25,165
66,1,39.8
330,1,165
30,6,62.4
1,15,76.32
1,13,79
67,2,74
4,21,129
106,1,163.2
17,4,40.8
217,1,175.2
59,7,67.6
1,1,14.85
16,2,33
238,1,30
94,1,22.5
10,6,81.6
105,6,51
52,9,147.5
30,5,33.9
11,6,35.4
2,4,195.6
1,17,130.8
42,1,20.8
3,1,25.2
246,2,121.68
41,9,131.4
176,1,40.8
91,3,39.6
109,4,64.35
25,10,70.8
51,3,175.2
183,3,79.9
42,5,53.1
21,4,45
74,5,179
80,2,158.4
372,1,33.9
325,1,30
42,11,79.2
29,2,83.4
183,1,66.4
234,2,25.5
8,10,70.8
219,2,39.6
110,3,39.6
277,1,20.65
317,1,204
6,3,39.6
1,5,102
259,2,45
141,1,39.6
50,2,70.8
7,8,85.92
154,2,47.6
108,2,29.9
162,3,76.5
331,1,31.8
225,1,19.9
73,2,34.68
50,4,41.6
98,3,44.85
14,3,99.5
196,1,25.5
2,15,179
30,2,31.8
20,4,183.6
23,3,70.8
7,3,31.2
212,1,69.6
8,6,67.5
10,5,183.6
1,11,89.7
2,4,47.7
39,1,50.4
17,4,60
18,1,16.5
116,1,91.8
222,1,47.7
70,3,53.1
88,6,50.85
7,9,138.24
242,1,23.6
46,6,66
106,1,46.8
44,6,70.8
64,1,66
206,2,35.4
10,5,83.4
114,2,35.4
241,1,60
162,1,70.8
16,7,79.8
123,2,34
22,3,104.04
67,1,102
16,8,58
15,2,22.5
16,4,45
160,2,51
242,1,61.2
218,1,35.4
44,8,85.92
20,4,153
126,8,70.8
38,1,39.6
120,2,85
259,1,91.8
9,1,9.9
273,1,35.4
164,1,51
156,4,70.8
214,1,19.8
5,2,37.44
365,1,25.5
79,2,89.7
42,1,29.5
18,3,30
31,4,68
21,1,13.5
108,8,207.5
319,1,29.9
294,1,39.6
357,1,25.5
184,1,25
190,2,159.2
43,2,30
51,1,25
25,1,31.2
37,3,135.2
8,3,20.8
296,1,31.8
32,3,83.2
9,8,62.4
64,2,72
9,9,146.25
217,1,17.25
1,9,44.55
64,2,29.5
2,19,103.68
148,1,99.84
3,13,97.8
33,6,76.5
118,1,30.6
106,6,207.5
10,7,133.2
91,9,51
310,1,102
42,2,81.6
361,1,10.2
91,7,56.88
0,13,51
3,3,89.64
10,6,30
98,1,23.4
56,2,99
0,6,83.4
217,1,163.2
49,2,45
6,5,76.32
302,1,76.5
9,6,99
21,6,199.2
98,1,20.4
365,1,17.4
305,1,19.5
319,1,175.2
7,5,153
0,4,107.1
204,2,76.5
53,4,35.95
0,4,23.85
18,5,34.8
18,4,30
180,3,29.7
59,2,19.8
10,2,16.95
189,1,15
4,9,30
310,1,45
154,1,132
109,3,41.76
147,3,67.6
65,11,39.6
97,3,178.5
246,3,163.5
28,7,127.5
17,4,22.5
11,2,50
103,8,49.9
73,2,85
45,1,34
71,3,119.4
256,1,30
19,4,179
253,2,25
10,1,49.92
164,2,47.2
17,6,179
281,1,30
49,1,31.6
38,1,9.95
26,6,51
67,1,158.4
206,1,29.88
174,2,47.7
6,5,59.4
25,1,30
50,2,20.8
311,2,122.04
308,1,30
42,5,170
25,3,25.2
87,3,102
183,2,35.4
19,11,89.55
2,6,136
46,4,27
16,8,75.6
16,5,45
21,2,21.45
10,5,49.92
187,2,29.85
100,3,138.24
60,3,60
17,6,71.4
32,2,31.8
63,1,29.75
1,2,165
23,4,143.04
107,1,46.8
31,9,102
2,55,87.6
36,1,45
59,3,15.3
25,6,107.1
235,4,47.7
24,7,127.2
2,18,169.92
59,3,55.65
259,1,51
57,1,49.8
64,2,53.1
15,2,40.56
9,3,35.4
58,8,90
185,1,35.7
23,2,103.68
4,5,35.4
3,8,87.2
310,1,17
10,2,90
17,2,30
151,1,9.9
18,5,165
9,4,72
56,2,60.84
84,1,102
6,22,136
75,3,39.6
3,18,99.6
95,4,67.5
56,2,153
0,1,122.4
280,2,77.35
2,7,102
179,9,44.85
371,1,35.4
12,4,22.5
2,1,28.08
16,1,27.84
40,1,35.4
5,5,25.5
168,4,63.8
49,1,29.5
276,1,20.4
18,9,38.25
371,1,15.9
14,4,58.5
34,3,14.95
21,3,75
6,2,17
19,6,59
10,2,84.1
43,1,14.85
305,1,24.75
10,1,90
0,93,139.3
3,4,204
71,4,191.16
8,3,75
245,1,30.6
205,2,30
0,5,59.4
184,1,23.6
31,5,60
56,2,23.4
195,2,35.4
23,4,175.2
90,2,70.8
3,2,33.3
50,3,111
262,1,19.8
265,1,27
35,2,42.96
50,1,57.8
51,6,60
23,6,53.55
21,1,39.6
58,1,76.32
169,2,75.6
67,2,175.2
156,2,102
200,1,99
4,4,81.6
66,2,27.04
76,1,22.5
0,7,97.3
7,4,179
168,2,14.75
17,4,30
4,2,39.95
8,9,29.75
86,2,81.36
26,1,66.9
28,4,45
19,2,30
60,5,81.6
23,1,30
10,25,170
241,3,33.9
279,2,18.75
234,2,44.55
2,5,122.4
15,1,60.84
30,6,178.2
187,2,31.2
25,5,61.2
106,1,120
7,21,153
208,1,30
43,2,27.04
30,5,122.04
136,4,20.4
264,1,127.5
3,7,51
217,2,39.84
1,5,29.85
213,1,20.28
31,3,63.6
0,17,59.8
14,1,19.8
10,9,29.9
198,1,179
2,3,162.72
14,13,62.4
13,4,23.4
9,11,195
28,3,102
8,11,102
23,1,80.64
24,4,67.5
42,2,50.4
1,5,30
5,3,60
146,1,30
9,6,35.4
24,1,78
273,1,50.85
373,1,19.8
0,8,35.4
46,3,24.9
7,8,120
15,12,204
3,32,107.1
3,3,170
42,7,88.8
3,7,180
196,3,67.8
11,6,93.6
15,7,145
112,5,70.8
248,1,33.9
28,5,34.8
43,1,208.8
86,1,35.4
44,2,35.7
9,11,59.4
14,1,35.4
74,1,40.56
144,4,59.7
4,3,35.4
296,1,23.8
58,2,51
263,1,33
46,1,88.8
28,3,31.6
7,6,54.08
16,2,59.4
2,8,165
231,2,35.4
111,1,24.96
57,3,50.4
50,11,100.8
126,2,59.4
280,3,39.95
54,2,29.85
319,1,90
25,2,40.56
9,2,37.92
6,2,74.25
28,1,59.4
16,4,85
63,1,4.25
20,1,22.5
2,7,59.8
165,1,31.8
0,17,100.8
52,3,29.7
50,1,24.75
47,12,102
60,1,8.5
161,3,175.2
8,1,63.75
14,4,70.8
74,1,25.2
39,8,125
40,11,35.4
369,2,25.5
36,2,30
196,1,125
199,2,50
73,3,75
63,2,51
20,4,35.4
366,1,25.2
179,3,12.75
9,4,166.4
3,12,85
28,4,34.8
52,1,22.88
17,6,128.88
9,3,23.4
89,4,33
267,1,17.85
52,6,60.48
148,1,53.1
21,25,175.2
311,1,31.2
22,2,63
57,6,40.8
23,2,175.2
77,7,102
118,2,82.5
35,3,89.7
59,2,35.4
12,4,59.8
18,1,40.56
51,1,39.6
25,2,34.8
28,1,64.68
6,2,18
185,3,40.56
2,8,59.4
8,2,25.2
261,1,81
2,4,23.7
209,1,39.8
12,9,102
76,3,25.5
19,1,30
26,2,90
18,6,40.56
131,1,102
252,1,39.8
206,1,40.5
335,1,17.7
253,1,25.5
147,2,30.6
9,2,35.7
84,1,79.2
7,20,158.4
204,2,39
7,4,83.2
22,6,100.8
10,9,75
25,1,30
20,5,45
1,2,112.32
157,2,81.6
2,7,95.7
73,1,79.6
2,4,24.96
16,2,81.6
35,4,72
90,2,83.4
70,4,50.4
115,2,81.6
212,2,30
29,2,49.5
50,1,46.8
245,1,125
31,1,51
108,3,51
365,1,50
81,2,81.6
29,12,118.8
13,1,34.5
71,2,49.92
22,6,59.7
18,1,49.8
78,1,38.25
24,1,19.9
11,1,25.5
252,1,15.3
146,3,31.9
63,4,54.08
7,2,67.5
10,9,145
270,1,70.2
9,5,72
246,1,101.76
95,2,75
14,1,16.4
49,1,204
29,1,14.85
67,4,70.8
34,3,28.9
127,1,19.9
36,1,12.5
56,1,53.55
56,7,51
71,5,47.7
245,1,16.5
18,2,25
197,2,19
15,2,81.6
211,1,45
38,2,10.65
45,3,46.8
169,2,43.8
47,1,30.6
115,4,61.2
146,1,112.5
15,28,30.24
50,1,37.5
158,1,29.7
11,3,45
35,1,30
53,2,12.75
42,2,82.5
172,1,17
33,1,12.48
38,3,51
266,1,17.85
8,9,41.5
11,4,39.95
9,10,46.8
32,1,30
79,3,76.5
30,4,150
7,4,59
71,2,101.76
3,4,72
4,10,52.02
15,8,177.6
89,1,35.4
71,3,23.4
58,6,49.5
169,1,16.5
198,1,76.5
30,1,179
18,17,71.4
151,2,175.2
269,1,23.4
64,4,30
273,1,81.12
24,3,120
22,3,85.8
318,1,79.9
4,3,50
11,2,15.9
24,11,46.2
40,9,35.8
7,4,14.85
70,4,39
52,1,66.4
77,3,102
45,2,17.9
178,1,29.7
372,1,106.2
93,2,142.8
9,3,64.68
104,1,34.68
77,1,102
172,1,50.4
6,32,62.4
212,4,81.6
21,5,35.4
256,1,34.8
281,1,60.48
20,2,85
9,6,68
307,1,31.8
67,1,34
214,2,38.25
17,6,202.8
103,4,60
42,1,46.8
3,1,23.8
83,1,79.68
8,2,104.4
30,2,85
196,2,33.9
17,7,162.72
17,5,39.6
310,6,51
141,4,60
245,1,25.5
23,4,119.85
28,3,39.6
29,10,51
17,1,34
17,4,157.92
14,5,192
245,1,39.95
133,1,39.95
49,2,25.5
113,3,58.5
6,2,81.12
22,2,20.4
65,1,60
59,4,49.8
169,1,35.4
17,5,102
127,3,90
14,8,53.1
238,1,19.5
2,4,52.2
239,2,23.4
51,7,83.4
45,1,53.1
225,1,23.4
7,17,102
3,4,68
164,2,81.6
239,1,87.6
10,1,23.4
133,1,67.5
16,10,40.8
9,13,44.85
30,1,28.08
74,1,25
0,3,47.8
3,3,85
44,1,135
356,1,106.2
17,2,69.3
68,3,29.7
372,1,26.1
320,1,15.9
25,1,47.7
8,5,40.8
322,1,19.8
71,1,19.5
259,1,19.5
17,5,103.68
366,1,18.6
153,2,35.4
28,2,25.5
69,1,79.9
13,2,35.4
119,3,69.6
60,1,70.8
91,2,35.4
86,5,120
25,6,33
356,1,68
84,2,87.6
9,4,61.2
0,5,66
224,1,49.95
59,2,38.25
240,1,39.8
318,2,19.5
1,8,30
46,3,62.4
87,1,63.6
175,1,89.2
51,6,46.8
365,1,102
318,1,165
225,2,175.2
357,2,68
233,1,35.4
310,1,30.6
36,5,40.56
65,4,102
238,2,59.4
