@relation rfm

@attribute CustomerID string
@attribute r numeric
@attribute f numeric
@attribute m numeric

@data
12866,282,1,60
12867,25,7,74.7
12868,185,6,31.6
12871,83,2,163.2
12872,326,2,41.3
12873,281,1,102
12876,57,2,122.4
12877,3,12,79.2
12878,235,2,30.6
12879,44,3,183.6
12881,275,1,195
12883,24,4,29.7
12884,87,1,170
12885,62,3,46.8
12886,67,2,35.4
12888,213,2,106.5
12890,23,1,45
12891,185,3,204
12893,30,1,37.44
12895,41,2,25
12897,204,2,70.8
12902,264,1,17.7
12904,17,2,51
12910,22,8,102
12912,2,5,157.92
12913,4,5,204
12915,148,2,25.5
12916,138,4,163.2
12919,7,6,107.28
12920,16,1,16.95
12921,8,37,178.2
12922,160,1,35.4
12923,63,1,19.9
12924,87,4,152.64
12925,4,2,34.68
12928,34,5,126
12929,311,1,17.85
12930,77,2,27.04
12933,23,3,52.5
12935,1,7,40.8
12936,16,4,102
12937,14,4,81.6
12938,25,1,19.8
12940,54,2,51
12942,130,3,25.5
12944,35,2,39.8
12945,287,1,58
12947,143,6,130
12948,15,7,46.8
12949,30,8,63.6
12950,1,3,179
12951,8,6,35.7
12952,5,4,33.9
12953,9,1,35.4
12955,0,11,157.92
12956,305,1,16.95
12957,9,8,76.5
12962,6,2,35.4
12963,7,8,53.1
12965,88,1,31.8
12966,9,1,25.2
12967,357,2,204
12968,111,1,61.2
12970,6,4,25.5
12974,197,1,35.7
12976,211,1,145
12977,155,1,20
12981,29,2,34.68
12982,242,1,23.4
12984,18,1,30
12985,0,2,47.4
12987,73,2,49.95
12988,291,1,29.85
12990,30,3,58.5
12991,22,2,42.5
12993,22,4,20.8
12994,3,3,25.5
12995,84,1,135
12997,21,4,83.2
12999,195,3,76.5
13000,106,3,76.32
13002,317,1,26.1
13003,105,3,60
13004,11,18,39.75
13005,173,2,75
13006,55,1,38.25
13008,322,1,34.8
13011,371,1,17.85
13012,8,8,50.4
13013,0,13,102
13014,10,10,175.2
13016,72,3,34.68
13017,6,1,204
13018,15,28,83.4
13021,3,9,75.6
13023,63,2,45
13026,0,5,159.36
13028,22,2,37.44
13030,10,2,47.4
13032,51,2,49.5
13033,356,1,19.5
13034,54,2,30
13035,73,2,102
13037,137,3,47.4
13038,79,3,102
13040,8,2,34.68
13043,272,1,120
13044,290,1,51
13045,98,1,41.6
13046,30,2,85
13047,31,10,68
13048,13,4,47.2
13049,63,2,177.6
13050,14,17,79.6
13052,211,1,67.85
13055,77,3,40.8
13058,24,3,123.75
13059,249,1,89.25
13060,253,1,61.2
13061,71,1,51.75
13062,190,1,102
13064,12,4,59
13065,372,1,23.4
13066,23,2,39.9
13067,81,1,18.75
13068,9,2,179
13070,191,1,41.6
13072,266,1,35.4
13075,129,1,102
13077,0,4,81.36
13079,3,5,95.2
13080,178,1,17.4
13081,11,11,207.5
13083,3,2,34
13085,157,2,60
13091,27,1,39.6
13092,70,5,39.8
13094,20,12,152.64
13095,70,1,17.4
13097,32,10,75.6
13099,98,1,207.36
13101,233,1,25.74
13103,39,1,51
13104,2,6,162.72
13106,132,1,76.5
13107,43,4,107.4
13108,372,1,102
13109,59,2,51
13110,30,7,47.7
13115,11,4,59.5
13116,137,1,31.9
13117,21,8,35.95
13118,19,5,67.5
13120,238,1,30.6
13121,268,1,20.28
13122,93,2,30.6
13124,89,3,114.75
13126,4,8,47.7
13127,77,1,34.68
13130,93,1,39
13131,22,3,119.4
13132,261,1,45
13133,273,2,19.9
13134,85,4,61.2
13136,55,5,51
13137,10,8,39.6
13138,21,6,30
13139,15,7,117
13140,107,3,31.8
13141,84,5,71.4
13142,18,1,30.6
13144,332,1,63.75
13146,25,1,51
13148,28,12,62.5
13149,13,4,76.5
13151,295,1,35.4
13153,5,1,140.4
13155,32,4,46.8
13157,48,4,60
13158,94,4,35.4
13159,8,4,74.7
13160,21,1,34.8
13161,312,1,27
13162,121,4,78.3
13165,45,2,102
13166,282,1,31.8
13167,18,4,41.76
13168,35,4,59
13169,63,2,153
13170,26,1,10.2
13171,21,3,83.2
13173,3,2,30
13174,15,3,49.95
13176,45,1,30.24
13177,64,1,19.8
13178,25,11,85.92
13182,44,1,15
13183,7,9,177.6
13184,14,10,60
13185,267,1,71.4
13186,39,3,50.4
13187,336,1,19.9
13188,10,1,99.6
13189,18,2,18.72
13192,94,2,29.7
13193,60,1,16.95
13194,135,1,34
13196,10,4,53.1
13198,9,6,42
13200,18,4,76.32
13203,9,4,39.95
13207,14,2,71.4
13208,58,6,47.2
13209,29,8,85.92
13210,93,1,30.24
13211,9,3,204
13212,19,3,50
13213,56,5,59.4
13216,267,1,92.5
13218,126,1,19.8
13220,77,4,166.8
13221,239,2,59.4
13223,199,2,100.8
13224,59,2,135
13226,272,1,15
13227,201,1,67.5
13228,80,1,179
13229,225,1,21.9
13230,3,14,85
13232,12,7,36
13233,73,2,46.8
13235,211,1,75.6
13236,24,2,40.56
13238,16,4,104
13239,261,1,44.55
13240,95,4,30.6
13242,111,3,20.8
13243,202,1,34
13244,92,1,9.95
13245,50,1,38.25
13246,17,6,174
13247,17,4,52.02
13248,124,2,31.6
13249,91,3,152.64
13253,156,2,180
13255,8,2,90
13258,11,3,81.6
13259,61,1,25.5
13261,268,2,135
13262,262,1,51
13263,0,35,122.4
13266,10,12,117
13267,2,19,76.5
13268,17,11,60
13269,0,15,177.6
13271,36,1,15.3
13272,30,2,29.7
13273,112,1,24.9
13276,63,2,46
13277,15,4,49.5
13278,40,1,39.84
13279,77,1,25.5
13280,121,3,21.9
13282,17,3,91.8
13283,59,2,20.8
13284,330,1,25.5
13285,22,4,33
13291,155,1,34.8
13292,38,2,39.6
13294,189,2,31.8
13295,359,1,25.2
13296,136,1,34
13297,7,4,102
13299,267,1,59.7
13300,168,1,30
13301,103,4,34
13302,154,1,63.75
13304,350,1,19.5
13305,3,10,63.6
13307,119,1,15
13308,22,3,149.4
13309,6,5,40.5
13310,27,3,30
13311,3,2,78.96
13313,21,5,59.4
13314,1,3,29.7
13317,65,6,40.8
13318,0,3,102
13319,4,26,153
13320,77,4,25
13322,16,1,45
13323,2,5,204
13325,81,1,133
13327,38,8,99.6
13329,31,2,131.4
13330,92,3,79.2
13332,13,1,23.6
13334,81,3,81.6
13336,76,1,30
13338,157,1,130.8
13339,200,1,34
13341,260,1,87.6
13343,177,1,50
13345,287,1,50
13347,69,1,59.4
13348,63,1,29.7
13349,10,1,50
13350,15,2,61.2
13351,65,1,50
13352,59,1,50
13354,70,1,39.6
13355,121,1,102
13356,79,1,47.7
13357,256,1,40.8
13358,268,1,50
13359,63,1,50
13362,8,4,59.4
13363,17,2,50
13364,70,1,24.96
13365,33,2,76.5
13366,49,1,56.16
13368,256,2,50
13369,365,1,50
13370,371,1,39.8
13372,89,1,50
13373,60,3,123.75
13375,88,1,102
13376,98,3,50
13379,25,3,33
13381,31,6,102
13382,280,1,19.8
13385,329,1,49.9
13388,130,2,53.1
13389,10,3,30
13390,74,1,119.4
13391,203,1,59.8
13394,1,8,75.6
13395,184,1,31.9
13396,28,2,118.8
13397,72,5,162.72
13398,191,1,35.7
13402,126,2,53.1
13403,17,1,45
13404,0,2,63.75
13405,73,3,39.8
13410,23,5,70.2
13411,106,1,34.65
13416,43,2,79.2
13417,4,2,37.5
13419,63,1,25.2
13420,149,2,38.25
13421,39,2,81.6
13422,63,1,75
13425,107,3,88.8
13426,0,10,149.4
13427,18,3,79.2
13428,9,1,8.5
13429,10,4,51
13430,18,2,51
13431,66,2,183.6
13434,73,2,177.6
13435,4,7,180
13436,1,1,25.5
13437,13,7,102
13439,254,1,20.4
13441,91,1,81.12
13447,22,3,53.55
13448,16,6,60
13449,23,1,34
13450,26,6,103.68
13451,25,5,39.8
13453,165,2,39.8
13455,24,2,63.75
13456,17,6,207.5
13458,6,14,122.4
13460,28,2,17
13461,38,3,163.8
13462,252,1,19.8
13464,57,1,30
13466,183,1,35.4
13467,10,2,39.8
13468,1,37,163.2
13470,98,2,16.5
13471,0,4,45
13473,60,2,45
13474,235,1,12.75
13475,190,4,76.32
13476,178,2,125
13477,37,6,76.5
13479,200,2,39.6
13481,45,5,41.6
13482,231,1,20.28
13483,65,1,30
13484,240,1,67.5
13485,232,1,70.8
13486,77,3,39.6
13487,57,3,35.4
13489,104,4,158.4
13491,51,10,30.6
13492,135,3,67.5
13493,274,2,156.6
13494,311,1,35.4
13495,7,5,135
13496,10,2,70.8
13497,282,2,35.4
13499,17,5,102
13500,22,3,39.6
13501,287,1,102
13502,16,3,59.4
13503,70,1,23.9
13504,63,1,22.5
13506,315,2,30
13507,2,4,39.6
13508,243,1,17.85
13509,8,7,127.2
13510,0,4,40.8
13512,260,1,30
13513,126,1,60
13514,73,1,41.5
13515,72,4,35.4
13516,20,3,180
13517,59,3,35.4
13518,85,1,35.4
13519,77,1,23.9
13520,58,6,200
13521,0,3,17
13522,29,1,35.7
13523,32,5,165
13524,40,5,40.8
13527,33,7,35.8
13529,78,2,50.85
13531,204,2,41.6
13532,33,1,30
13533,182,3,13.05
13534,1,25,41.6
13536,0,7,89.1
13538,42,7,70.8
13539,85,3,33.9
13544,39,2,13.52
13546,11,3,38.25
13548,95,2,54.18
13549,25,7,45
13551,318,1,38.25
13552,65,12,119.52
13555,73,4,122.4
13557,27,2,60
13558,5,4,16.6
13560,6,1,14.75
13561,215,1,81.6
13562,81,3,53.55
13563,83,2,165
13565,18,2,30
13566,40,2,47.6
13568,172,1,11.8
13569,16,2,16.95
13570,242,1,40.56
13571,12,12,20.8
13572,205,1,157.92
13573,49,2,41.25
13575,22,5,41.6
13577,24,4,99
13579,14,2,47.7
13581,308,1,31.8
13583,155,1,31.6
13584,306,1,27.25
13588,15,9,39.6
13589,14,2,30.6
13590,10,6,113.76
13591,64,3,76.5
13592,35,4,32.85
13593,107,5,59.5
13594,52,1,33
13596,5,2,24.9
13598,46,1,25.5
13599,0,21,165
13600,311,1,44.85
13601,44,2,29.7
13602,64,1,30.24
13603,25,1,17.9
13606,28,3,30.6
13607,39,1,25
13610,11,7,34
13611,88,3,60.84
13614,23,4,50.85
13615,318,1,40.56
13617,39,3,57.75
13618,173,1,30
13621,116,1,20
13623,30,5,109.5
13626,252,1,19.8
13627,58,5,203.52
13630,4,7,158.4
13632,24,5,60.48
13634,32,5,51
13635,67,1,45
13636,36,5,34
13637,51,3,25.5
13638,15,1,25.5
13642,215,1,29.4
13643,30,3,35.4
13644,15,4,37.5
13645,119,1,90
13647,9,4,207.5
13649,256,2,83.4
13650,16,6,70.8
13651,34,2,17.4
13652,45,3,27.04
13654,42,6,53.1
13655,113,2,39.8
13656,164,2,35.4
13657,10,2,67.5
13658,9,5,167
13659,205,2,67.2
13662,85,3,34.8
13663,178,1,19.8
13666,59,3,20.4
13667,148,1,15.8
13668,2,21,203.52
13669,50,2,40.8
13670,74,1,30
13672,300,2,54
13673,18,2,49.5
13675,150,2,35.4
13678,151,1,19
13681,17,4,41.25
13682,186,1,25.5
13684,285,1,7.5
13686,182,1,10.5
13689,62,1,179
13690,58,1,44.85
13692,24,3,118.8
13695,30,15,158.4
13697,38,1,19.8
13699,154,1,31.8
13700,25,10,99.6
13703,317,1,99.5
13704,4,9,51
13705,7,3,165
13706,302,1,39.9
13707,266,2,60
13708,270,1,17.7
13709,3,13,177.6
13710,31,1,67.2
13711,218,2,31.6
13712,246,1,40.8
13715,280,5,35.4
13716,268,1,20.4
13717,31,6,34.68
13718,245,2,111.6
13719,14,5,52.2
13720,116,4,79.2
13721,35,1,39.6
13722,131,3,85
13723,216,1,49.75
13725,49,8,136
13726,38,2,179
13727,28,2,47.7
13728,36,6,25.5
13730,135,2,39.6
13731,218,2,23.4
13732,27,1,30
13735,24,4,71.4
13736,4,2,19.9
13737,199,1,73.95
13739,17,1,91.8
13740,240,1,31.8
13741,71,3,47.7
13742,16,12,51
13743,2,7,70.2
13744,94,2,41.76
13745,161,1,28.44
13747,373,1,79.6
13748,95,5,204
13751,287,1,165
13752,123,6,75
13753,287,1,67.5
13754,151,2,52.2
13755,3,9,59.4
13758,11,7,102
13759,32,2,157.92
13760,53,2,20.65
13761,49,2,30
13762,218,1,104.4
13763,62,1,180
13764,70,3,25
13769,1,10,157.92
13771,63,4,102
13772,33,3,74.25
13774,81,1,24.9
13778,102,1,30
13780,6,2,85.8
13781,250,1,25.5
13782,12,6,24.96
13784,9,11,199.68
13786,366,1,81.6
13787,75,2,24.96
13790,3,1,18.72
13792,65,2,23.4
13799,116,2,50.4
13800,309,1,46.8
13801,66,1,20.4
13803,254,1,23.4
13804,30,7,69.36
13805,51,2,169
13806,63,1,65.4
13807,366,1,19.8
13808,5,5,106.2
13809,304,1,38.25
13812,41,3,26.4
13813,39,4,54
13814,91,2,90
13815,21,4,198
13816,23,2,54
13817,28,2,36
13819,301,3,66
13821,144,2,25.5
13822,5,2,123.9
13823,18,2,91.8
13824,32,5,207.5
13826,175,1,29.7
13827,57,3,19.9
13828,21,1,17.7
13832,18,1,19.8
13833,158,1,30
13835,24,4,31.8
13837,211,2,45
13838,5,4,19.9
13841,252,1,85
13842,58,9,50.85
13844,10,1,35.4
13845,64,1,102
13846,24,3,30.6
13849,51,2,39.6
13850,128,1,30.6
13853,56,1,175.2
13856,168,3,93.6
13858,56,1,30.6
13859,325,1,19.9
13860,0,5,29.88
13862,17,8,45
13863,247,1,30
13865,57,4,25.5
13866,73,1,34.68
13867,30,3,63.6
13869,122,4,35.7
13870,1,8,207.5
13871,22,13,67.2
13873,119,3,30
13874,357,1,178.75
13875,53,5,178.2
13876,63,1,23.9
13877,85,1,69.6
13878,54,1,99.6
13880,20,13,59.4
13882,2,5,59.85
13883,10,5,51
13884,6,5,69.3
13885,188,2,51
13886,70,1,20
13887,203,1,32.7
13888,119,2,30
13889,92,1,50.4
13890,0,10,39.6
13892,26,4,114.84
13894,23,3,76.32
13895,27,4,180
13897,49,1,53.1
13898,325,1,22.5
13899,15,2,51
13900,182,3,102
13901,71,5,59.95
13904,36,2,19.8
13908,79,4,124.8
13911,56,9,119.52
13914,11,2,59.4
13917,49,2,30.6
13919,58,2,34.8
13922,351,1,39.8
13923,53,1,35.4
13924,1,6,35.4
13925,92,4,33.2
13926,22,1,39.95
13927,74,1,41.6
13928,10,4,35.4
13930,57,2,39.6
13932,294,1,34
13933,108,2,67.5
13934,263,1,90
13936,179,1,31.6
13937,168,1,30.6
13938,34,1,19.8
13939,22,3,35.4
13940,16,4,39.6
13946,78,3,132
13947,64,1,19.8
13948,360,1,46.8
13949,2,6,135.2
13950,10,4,81.6
13951,175,3,38.16
13952,217,2,70.8
13954,1,2,33.9
13955,153,2,51
13956,4,5,49.01
13959,78,3,42.5
13960,20,2,70.8
13962,21,2,21.95
13963,307,4,60
13967,145,1,45
13969,6,18,207.5
13971,18,8,49.8
13972,70,2,23.6
13973,286,1,68
13974,48,1,24.96
13975,30,6,51
13976,206,1,69.36
13978,14,2,40.56
13979,72,1,25.5
13980,59,1,47.2
13982,38,4,81.6
13985,3,15,53.1
13986,16,1,80.64
13988,19,6,71.9
13989,65,2,145
13990,212,1,35.7
13991,11,6,39.6
13992,29,1,20
13993,42,9,204
13994,3,6,49.5
13995,14,5,35.4
13999,9,12,81.36
14000,210,1,93.6
14001,45,3,179
14002,133,2,23.4
14004,42,7,82.5
14005,9,5,175.2
14006,115,3,145
14009,197,2,30
14012,277,1,39.6
14013,109,3,39.6
14014,76,1,30
14015,52,1,108.48
14016,161,4,207.5
14019,46,3,99.84
14020,16,2,39.6
14021,154,3,76.5
14022,224,1,35.4
14023,6,2,44.55
14024,121,2,30.6
14027,60,1,24.96
14029,62,2,79.2
14032,1,11,128.88
14034,21,3,87.8
14035,28,5,81.6
14036,284,1,31.8
14037,175,2,17.7
14038,77,3,39.6
14039,32,1,69.6
14040,40,12,175.2
14041,265,1,39.9
14044,26,4,49.95
14046,283,1,40.32
14047,8,5,183.6
14048,304,1,23.6
14049,16,4,119.4
14050,31,2,30
14052,19,1,18.75
14053,123,2,112.5
14054,64,1,16.5
14056,0,23,74.25
14059,266,1,51
14066,266,1,38.25
14067,63,2,24.75
14068,319,1,40.5
14071,3,8,40.56
14073,31,1,17
14075,4,3,85.92
14076,128,1,16.95
14077,40,5,85.92
14078,101,6,158.75
14079,124,1,165
14080,32,1,15
14081,301,2,25.5
14082,364,1,23.4
14083,3,9,29.7
14085,1,18,51
14087,2,1,11.7
14089,56,1,31.2
14090,324,1,76.32
14092,7,14,71.4
14093,11,1,30
14098,36,1,61.2
14099,15,11,121.68
14100,137,1,23.85
14102,4,5,90
14104,154,2,85
14105,238,1,53.55
14107,51,7,71.4
14108,30,2,59.4
14109,72,1,25.2
14111,13,4,153
14112,22,7,102
14114,273,2,89.7
14116,19,5,85
14117,143,1,30
14121,3,4,94.8
14124,83,1,143.26
14125,10,3,47.8
14127,122,3,23.6
14128,60,2,29.7
14129,1,5,45
14130,318,1,40.8
14132,1,11,74
14133,129,3,39.6
14138,1,2,99.6
14139,45,1,61.2
14140,3,2,30.6
14141,2,4,59.4
14142,372,1,25.2
14143,133,1,19.8
14146,8,5,183.6
14147,77,2,204
14148,233,1,127.5
14149,220,1,25.5
14150,35,2,118.8
14152,74,2,30
14154,238,2,195
14155,265,1,29.5
14157,19,2,35.4
14158,39,1,34
14159,19,11,51
14161,215,3,39.8
14162,173,2,40.8
14165,275,1,17
14167,38,4,25.5
14171,97,1,25.5
14173,10,4,135
14174,32,1,9.95
14175,59,3,75
14176,296,4,35.4
14177,85,4,109
14178,8,7,59.4
14179,40,2,34.8
14180,10,25,165
14184,66,1,39.8
14185,330,1,165
14188,30,6,62.4
14189,1,15,76.32
14191,1,13,79
14193,67,2,74
14194,4,21,129
14196,106,1,163.2
14198,17,4,40.8
14199,217,1,175.2
14201,59,7,67.6
14204,1,1,14.85
14205,16,2,33
14206,238,1,30
14208,94,1,22.5
14209,10,6,81.6
14210,105,6,51
14211,52,9,147.5
14214,30,5,33.9
14215,11,6,35.4
14216,2,4,195.6
14217,1,17,130.8
14218,42,1,20.8
14219,3,1,25.2
14220,246,2,121.68
14221,41,9,131.4
14222,176,1,40.8
14223,91,3,39.6
14224,109,4,64.35
14227,25,10,70.8
14229,51,3,175.2
14231,183,3,79.9
14232,42,5,53.1
14234,21,4,45
14235,74,5,179
14236,80,2,158.4
14237,372,1,33.9
14238,325,1,30
14239,42,11,79.2
14240,29,2,83.4
14241,183,1,66.4
14242,234,2,25.5
14243,8,10,70.8
14245,219,2,39.6
14246,110,3,39.6
14247,277,1,20.65
14248,317,1,204
14250,6,3,39.6
14251,1,5,102
14256,259,2,45
14259,141,1,39.6
14261,50,2,70.8
14262,7,8,85.92
14264,154,2,47.6
14265,108,2,29.9
14267,162,3,76.5
14270,331,1,31.8
14271,225,1,19.9
14272,73,2,34.68
14273,50,4,41.6
14276,98,3,44.85
14277,14,3,99.5
14280,196,1,25.5
14282,2,15,179
14284,30,2,31.8
14285,20,4,183.6
14286,23,3,70.8
14287,7,3,31.2
14288,212,1,69.6
14289,8,6,67.5
14290,10,5,183.6
14291,1,11,89.7
14293,2,4,47.7
14295,39,1,50.4
14297,17,4,60
14300,18,1,16.5
14301,116,1,91.8
14304,222,1,47.7
14305,70,3,53.1
14307,88,6,50.85
14309,7,9,138.24
14311,242,1,23.6
14312,46,6,66
14314,106,1,46.8
14315,44,6,70.8
14317,64,1,66
14320,206,2,35.4
14321,10,5,83.4
14323,114,2,35.4
14326,241,1,60
14327,162,1,70.8
14329,16,7,79.8
14331,123,2,34
14332,22,3,104.04
14333,67,1,102
14334,16,8,58
14335,15,2,22.5
14336,16,4,45
14338,160,2,51
14339,242,1,61.2
14340,218,1,35.4
14341,44,8,85.92
14342,20,4,153
14344,126,8,70.8
14345,38,1,39.6
14346,120,2,85
14348,259,1,91.8
14349,9,1,9.9
14350,273,1,35.4
14351,164,1,51
14352,156,4,70.8
14353,214,1,19.8
14354,5,2,37.44
14355,365,1,25.5
14356,79,2,89.7
14357,42,1,29.5
14359,18,3,30
14360,31,4,68
14362,21,1,13.5
14364,108,8,207.5
14368,319,1,29.9
14371,294,1,39.6
14373,357,1,25.5
14375,184,1,25
14377,190,2,159.2
14379,43,2,30
14381,51,1,25
14382,25,1,31.2
14383,37,3,135.2
14385,8,3,20.8
14386,296,1,31.8
14387,32,3,83.2
14388,9,8,62.4
14389,64,2,72
14390,9,9,146.25
14393,217,1,17.25
14395,1,9,44.55
14396,64,2,29.5
14397,2,19,103.68
14400,148,1,99.84
14401,3,13,97.8
14404,33,6,76.5
14406,118,1,30.6
14407,106,6,207.5
14408,10,7,133.2
14410,91,9,51
14411,310,1,102
14412,42,2,81.6
14413,361,1,10.2
14414,91,7,56.88
14415,0,13,51
14418,3,3,89.64
14419,10,6,30
14420,98,1,23.4
14421,56,2,99
14422,0,6,83.4
14423,217,1,163.2
14427,49,2,45
